node1ID node2ID branchID x1 y1 z1 x2 y2 z2 radius time age type organ parent_node_id 
0 2 2 0.0000 0.0000 0.0000 0.1025 0.0898 0.4811 0.2000 0.5129 3.0000 1 3 2  
2 3 2 0.1025 0.0898 0.4811 0.2386 0.1968 0.9501 0.2000 1.0536 3.0000 1 3 2  
3 8 6 0.2386 0.1968 0.9501 0.3621 0.2280 1.9420 0.2000 2.1137 1.9464 3 3 6  
5 11 7 0.5253 0.4043 1.6624 0.7467 0.3877 2.6374 0.2000 2.1137 1.9464 3 3 7  
7 14 8 0.9061 0.6650 2.3101 1.2956 1.1652 3.0835 0.2000 2.1137 1.9464 3 3 8  
4 5 2 0.4071 0.3209 1.4042 0.5253 0.4043 1.6624 0.2000 2.1150 3.0000 1 3 2  
6 7 2 0.7543 0.5620 2.0779 0.9061 0.6650 2.3101 0.2000 2.1150 3.0000 1 3 2  
3 4 2 0.2386 0.1968 0.9501 0.4071 0.3209 1.4042 0.2000 2.4875 3.0000 1 3 2  
5 6 2 0.5253 0.4043 1.6624 0.7543 0.5620 2.0779 0.2000 2.4875 3.0000 1 3 2  
0 1 1 0.0000 0.0000 0.0000 0.0208 -0.7882 -0.6151 0.0500 3.0000 3.0000 1 2 1  
8 9 6 0.3621 0.2280 1.9420 0.4040 0.2431 2.9410 0.2000 3.0000 1.9464 3 3 6  
9 10 6 0.4040 0.2431 2.9410 0.4056 0.2359 3.9410 0.2000 3.0000 1.9464 3 3 6  
11 12 7 0.7467 0.3877 2.6374 0.9287 0.3488 3.6200 0.2000 3.0000 1.9464 3 3 7  
12 13 7 0.9287 0.3488 3.6200 1.0292 0.2942 4.6134 0.2000 3.0000 1.9464 3 3 7  
14 15 8 1.2956 1.1652 3.0835 1.5351 1.5659 3.9678 0.2000 3.0000 1.9464 3 3 8  
15 16 8 1.5351 1.5659 3.9678 1.7379 1.9458 4.8704 0.2000 3.0000 1.9464 3 3 8  
